Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2019,662,,,,,
LSB: Births Live (Estimated),1802 Thathom,2020,576,,,,,
LSB: Births Live (Estimated),1802 Thathom,2022,587,,,,,
LSB: Births Live (Estimated),1802 Thathom,2021,577,,,,,
LSB: Births Live (Estimated),1802 Thathom,2023,580,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2016,715,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2017,684,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2018,673,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2023,2809,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2022,2759,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2021,2750,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2020,2740,,,,,
LSB: Births Live (Estimated),1802 Thathom,2017,573,,,,,
LSB: Births Live (Estimated),1802 Thathom,2016,570,,,,,
LSB: Births Live (Estimated),1802 Thathom,2019,578,,,,,
LSB: Births Live (Estimated),1802 Thathom,2018,579,,,,,
LSB: Births Live (Estimated),1802 Thathom,2015,596,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2022,627,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2019,2754,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2023,614,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2016,2750,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2015,2742,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2018,2758,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2020,653,,,,,
LSB: Children under 5 years (Estimated),1802 Thathom,2017,2758,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0707 Sopbao,2021,641,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2016,829,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2017,630,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2018,621,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2019,610,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2015,37281,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2020,599,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2021,587,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2022,582,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0609 Chomphet,2023,575,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2022,51665,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2023,662,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2021,50937,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2022,678,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2023,52387,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2016,37905,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2017,38472,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2021,694,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2018,38999,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2020,50220,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2019,39501,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2020,714,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2016,798,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2017,811,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2018,755,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2019,741,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2019,735,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2021,711,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2016,857,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2022,696,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2023,683,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2018,755,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0602 Xiangngeun,2017,774,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2020,725,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2021,755,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2022,738,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2023,719,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2020,768,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2016,18946,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2015,18549,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2019,20178,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2018,19758,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2017,19346,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2018,798,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0202 Mai,2019,783,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2018,493,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2017,499,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2019,485,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2016,432,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2023,21952,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2022,21497,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2021,21051,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0501 Houayxay,2020,20611,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2015,26892,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2017,27413,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2016,27147,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2019,27852,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2018,27639,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2021,469,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2020,477,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2023,442,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0402 La,2022,456,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2020,28063,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2015,902,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2022,28420,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2016,787,,,,,
LSB: Births Live (Estimated),0206 Nyot-ou,2017,771,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2021,28250,,,,,
LSB: Population (Estimated-single age),0604 Pak-ou,2023,28571,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2023,41482,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2020,39994,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2021,40491,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0103 Xaisettha (Vientiane Capital),2022,40983,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2020,1433,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2021,1433,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2022,1427,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2023,1417,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2023,2044,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2022,2050,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2020,9005,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2021,2052,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2017,1417,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2018,1425,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2020,2053,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2019,1431,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2023,9416,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2021,9149,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2022,9282,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0101 Chanthabouli,2016,1054,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2018,2171,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2017,2225,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2016,2268,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2015,2016,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2018,8722,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2019,8863,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2023,13084,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2021,12321,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2022,12693,,,,,
LSB: Births Live (Estimated),1302 Outhoumphon,2019,2115,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2020,11960,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2020,24581,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2016,8424,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2017,8578,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2022,26057,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2021,25317,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0706 Xamtai,2015,8269,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2023,26792,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2017,22385,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2016,21651,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2019,23843,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2018,23112,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2018,11296,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2019,11616,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2016,10705,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2020,8124,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2017,10994,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2021,8354,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2022,8604,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0504 Pha-oudom,2015,10429,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2023,8868,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2018,681,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2019,673,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2016,732,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2017,690,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2019,7905,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2015,18573,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2017,19314,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2016,18940,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2015,7135,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2016,7328,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2017,7514,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1306 Nong,2018,7706,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2017,3786,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2018,3661,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2019,3528,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2019,20013,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2018,19675,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2023,1000,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2023,775,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2022,1012,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2021,1019,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2021,822,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2020,1023,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2022,800,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2020,857,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2020,20331,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2022,20896,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2021,20624,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2015,4006,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0901 Pek,2023,21156,,,,,
